EmployeeID,Age,Gender,Education,Department,JobRole,YearsExperience,YearsAtCompany,PerformanceScore,WorkHours,Overtime,ProjectsHandled,TrainingHours,WorkLifeBalance,JobSatisfaction,Absences,Promotions,DistanceFromHome,StressLevel,MonthlyIncome,Attrition
62,51.0,Male,PhD,Finance,Manager,16,6,1,65.0,No,12,64,2,1,14,3,30,Medium,48571.0,Yes
63,35.0,Female,PhD,Finance,Manager,6,10,4,43.0,No,13,11,2,2,8,4,16,High,32359.0,Yes
64,28.0,Female,PhD,Sales,Manager,33,3,2,60.0,No,16,17,4,5,12,3,2,High,78203.0,Yes
65,34.0,Female,Master,IT,Engineer,22,17,5,36.0,No,4,75,4,2,17,0,32,Medium,60371.0,Yes
66,43.0,Male,PhD,IT,Manager,7,28,1,50.0,Yes,14,33,2,3,15,3,19,Low,34670.0,Yes
67,41.0,Female,PhD,HR,Engineer,20,25,4,44.0,Yes,19,68,2,5,13,2,36,High,54062.0,Yes
68,36.0,Female,Bachelor,HR,Analyst,13,17,1,,Yes,16,53,1,1,6,1,49,Medium,38979.0,Yes
69,38.0,Female,Master,IT,Engineer,25,18,3,60.0,Yes,4,18,3,5,9,2,6,High,65951.0,Yes
70,44.0,Male,Bachelor,IT,Engineer,34,22,1,69.0,No,12,21,2,2,5,0,18,Medium,71046.0,Yes
71,46.0,Female,PhD,Finance,Analyst,19,29,3,54.0,Yes,5,59,2,3,18,1,41,High,59371.0,Yes
72,45.0,Female,Bachelor,IT,Manager,20,15,2,53.0,Yes,5,85,4,5,6,3,20,High,51395.0,Yes
73,49.0,Female,Bachelor,IT,Analyst,0,9,3,56.0,No,2,43,2,5,16,3,1,High,23430.0,Yes
74,35.0,Female,Master,Finance,Manager,5,12,3,61.0,Yes,9,65,2,2,13,1,42,Medium,29831.0,Yes
75,21.0,Male,Bachelor,IT,Manager,11,25,3,35.0,Yes,1,71,2,4,16,3,9,Low,45460.0,Yes
76,45.0,Female,Master,Finance,Analyst,24,13,2,65.0,No,15,16,4,1,3,2,46,Low,59143.0,Yes
77,27.0,Male,Bachelor,Sales,Analyst,28,8,5,42.0,Yes,16,80,2,2,9,2,10,High,72277.0,Yes
78,29.0,Female,Bachelor,IT,Analyst,14,17,2,37.0,No,1,88,3,5,4,3,30,High,42541.0,Yes
79,44.0,Female,PhD,Finance,Analyst,10,11,5,61.0,Yes,19,69,1,5,8,2,9,Medium,46342.0,Yes
80,21.0,Female,Master,HR,Engineer,14,2,2,52.0,Yes,17,79,3,1,19,2,49,Medium,49234.0,Yes
81,28.0,Female,PhD,Finance,Engineer,31,24,1,63.0,No,15,46,1,3,15,3,4,Low,66433.0,Yes
82,44.0,Female,PhD,Finance,Engineer,34,8,5,43.0,Yes,16,75,2,1,2,3,32,Medium,84053.0,Yes
83,31.0,Male,Master,Finance,Manager,0,29,1,,Yes,1,5,2,1,8,0,40,High,18184.0,Yes
84,37.0,Female,Master,Finance,Manager,13,24,1,37.0,No,9,90,1,2,6,3,27,High,37858.0,Yes
85,28.0,Female,Master,HR,Manager,5,9,3,40.0,No,2,89,4,4,11,0,26,Medium,28999.0,No
86,55.0,Female,Master,IT,Manager,15,23,2,33.0,Yes,19,82,4,2,6,1,43,Medium,43744.0,Yes
87,55.0,Male,PhD,Sales,Manager,32,12,5,31.0,No,5,77,1,4,5,2,34,Low,81490.0,Yes
88,53.0,Male,Bachelor,Sales,Engineer,20,25,4,33.0,Yes,5,69,4,5,13,2,12,Medium,,No
89,25.0,Female,Bachelor,Sales,Manager,21,29,2,61.0,Yes,4,29,2,5,16,3,3,Medium,53552.0,Yes
90,59.0,Male,Master,IT,Manager,11,10,2,57.0,Yes,14,33,2,5,14,4,2,Low,40525.0,Yes
91,48.0,Female,PhD,Finance,Engineer,1,24,2,,No,10,66,2,5,3,4,28,Low,28567.0,Yes
92,27.0,Male,Master,Finance,Manager,8,6,5,,Yes,6,98,3,4,16,2,41,High,,Yes
93,29.0,Female,Bachelor,IT,Analyst,23,28,5,51.0,Yes,6,1,4,2,3,2,25,Low,60943.0,Yes
94,28.0,Male,PhD,HR,Manager,10,1,2,67.0,No,11,27,3,2,12,4,10,High,41846.0,Yes
95,32.0,Male,Master,Finance,Analyst,33,24,1,51.0,No,7,68,1,3,7,1,21,High,73805.0,Yes
96,54.0,Male,Master,Finance,Manager,24,18,1,52.0,No,19,68,3,5,15,2,6,Low,57921.0,No
97,53.0,Male,Master,HR,Engineer,16,23,2,42.0,No,11,10,4,3,9,0,18,Low,48033.0,No
98,43.0,Male,Master,Finance,Analyst,26,5,4,61.0,No,6,96,2,3,14,2,25,High,71064.0,Yes
99,44.0,Male,Master,HR,Analyst,7,6,3,37.0,No,7,3,1,2,7,4,32,Low,32543.0,Yes
100,57.0,Male,Master,HR,Analyst,5,7,2,38.0,No,11,28,3,4,13,1,22,Low,35153.0,No
101,55.0,Male,Bachelor,IT,Analyst,5,21,2,50.0,Yes,15,76,3,4,5,3,30,Medium,30460.0,No
102,42.0,Female,PhD,HR,Engineer,15,26,3,41.0,Yes,2,67,1,5,5,0,17,Low,47412.0,Yes
103,,Female,PhD,HR,Engineer,33,15,1,64.0,No,13,44,2,4,16,2,8,Medium,67185.0,Yes
104,55.0,Female,Bachelor,HR,Analyst,21,1,5,45.0,No,15,99,4,4,12,0,33,High,60551.0,Yes
105,21.0,Female,PhD,Sales,Manager,11,18,1,55.0,No,2,5,4,2,1,2,15,Medium,37497.0,Yes
106,55.0,Female,Master,Finance,Engineer,20,28,2,48.0,No,2,26,2,1,1,1,48,Medium,55072.0,Yes
107,57.0,Female,PhD,IT,Analyst,6,10,4,34.0,Yes,14,18,2,2,9,3,23,Medium,34284.0,Yes
108,34.0,Male,Bachelor,Finance,Manager,6,28,3,63.0,No,9,28,1,4,10,2,34,High,34721.0,Yes
109,23.0,Male,Bachelor,Finance,Engineer,34,28,1,31.0,Yes,4,94,4,5,4,4,41,Medium,71605.0,No
110,,Male,Master,IT,Manager,27,9,1,68.0,No,19,20,1,2,17,0,46,Low,63971.0,Yes
111,25.0,Female,Master,IT,Engineer,22,6,2,46.0,No,13,1,3,5,2,0,25,Medium,52174.0,No
112,46.0,Male,PhD,Sales,Engineer,13,22,2,36.0,No,1,38,4,1,0,0,26,High,47983.0,Yes
113,34.0,Male,Master,HR,Engineer,20,23,2,64.0,No,13,47,2,4,16,1,38,Medium,54418.0,Yes
114,59.0,Male,PhD,IT,Manager,1,22,4,67.0,Yes,2,71,3,5,17,2,49,Low,34265.0,No
115,47.0,Male,PhD,Finance,Manager,24,0,5,49.0,Yes,10,66,1,1,4,3,33,High,62974.0,Yes
116,29.0,Female,Master,Sales,Manager,0,3,1,42.0,Yes,17,48,2,2,5,3,1,Low,23881.0,Yes
117,35.0,Male,PhD,HR,Analyst,0,19,3,49.0,No,7,44,2,2,15,1,30,High,21836.0,Yes
118,35.0,Male,PhD,HR,Manager,19,3,2,38.0,No,12,0,4,4,15,0,29,Low,49459.0,No
119,46.0,Female,PhD,IT,Manager,13,13,4,40.0,No,17,15,3,3,9,3,29,High,46593.0,Yes
120,33.0,Female,PhD,Finance,Manager,0,2,5,64.0,Yes,18,55,2,3,5,4,31,Low,34880.0,Yes
121,52.0,Female,Bachelor,HR,Analyst,33,29,5,40.0,No,18,77,3,5,0,2,14,Medium,79144.0,No
122,59.0,Male,Bachelor,IT,Engineer,10,4,5,69.0,No,14,24,3,2,5,1,29,Medium,44897.0,Yes
123,52.0,Male,Bachelor,HR,Engineer,20,15,4,34.0,No,3,21,4,2,14,0,18,Medium,55933.0,Yes
124,24.0,Male,PhD,IT,Manager,12,25,4,30.0,Yes,11,26,4,1,5,2,12,High,,Yes
125,50.0,Female,Master,Finance,Manager,24,22,4,46.0,No,13,39,3,3,7,1,42,High,,Yes
126,57.0,Male,Bachelor,IT,Analyst,26,8,1,50.0,No,2,30,1,4,13,0,27,Medium,62506.0,Yes
127,43.0,Female,PhD,IT,Engineer,22,28,5,58.0,No,15,33,4,3,10,1,3,Medium,61893.0,No
128,59.0,Female,Bachelor,Finance,Manager,11,20,5,49.0,Yes,11,25,4,5,17,0,43,Medium,50834.0,No
129,35.0,Female,Bachelor,Finance,Manager,29,23,3,68.0,Yes,6,34,3,4,7,4,32,Medium,72282.0,No
130,49.0,Male,Bachelor,IT,Engineer,11,28,2,58.0,No,13,11,4,5,10,1,30,Low,36157.0,No
131,56.0,Female,Bachelor,IT,Analyst,5,0,4,69.0,No,4,59,4,3,6,4,42,Low,39417.0,No
132,33.0,Female,PhD,Finance,Manager,24,7,3,41.0,No,11,91,3,5,2,3,35,High,57911.0,Yes
133,52.0,Male,Bachelor,Sales,Manager,24,24,3,,No,17,97,3,2,0,1,47,Medium,61276.0,Yes
134,,Female,PhD,HR,Manager,29,1,3,56.0,Yes,3,5,1,3,9,3,29,Low,67242.0,Yes
135,42.0,Female,Master,Sales,Analyst,14,24,2,50.0,No,2,64,3,4,12,3,30,Low,45701.0,No
136,48.0,Male,Master,HR,Manager,11,20,4,52.0,No,13,70,1,2,11,3,10,High,43353.0,Yes
137,22.0,Male,Bachelor,Sales,Engineer,10,17,5,39.0,No,12,64,2,1,5,3,28,Low,47764.0,Yes
138,26.0,Female,Master,IT,Manager,19,8,1,40.0,Yes,1,19,4,1,8,2,38,Low,47593.0,Yes
139,48.0,Female,Master,Finance,Analyst,30,7,1,66.0,No,15,55,3,3,4,3,17,Medium,64629.0,No
140,48.0,Male,PhD,HR,Manager,4,22,1,30.0,Yes,9,43,1,1,9,4,25,High,27424.0,Yes
141,40.0,Female,PhD,Sales,Analyst,5,14,5,39.0,No,15,18,1,3,2,3,49,Medium,37867.0,Yes
142,50.0,Female,Bachelor,Finance,Engineer,34,8,2,,No,9,53,4,3,6,0,42,Low,76510.0,No
143,,Female,Master,HR,Manager,20,6,2,41.0,Yes,13,6,4,2,10,3,39,High,57104.0,Yes
144,,Female,Master,IT,Analyst,6,28,4,45.0,No,19,62,1,5,12,2,46,High,36128.0,Yes
145,,Male,PhD,Sales,Manager,15,16,3,57.0,Yes,14,66,2,5,9,3,48,Medium,52110.0,Yes
146,59.0,Female,Bachelor,HR,Manager,1,12,3,64.0,Yes,11,90,4,4,12,1,21,High,23965.0,Yes
147,53.0,Female,Master,Finance,Manager,6,3,4,49.0,No,13,86,1,1,13,1,2,High,,Yes
148,21.0,Male,Master,Sales,Analyst,27,13,3,37.0,Yes,1,72,4,5,11,1,3,High,67027.0,Yes
149,47.0,Female,Bachelor,Sales,Manager,11,16,5,55.0,Yes,5,75,4,1,17,2,34,Low,44326.0,Yes
150,33.0,Female,PhD,HR,Analyst,31,6,5,51.0,Yes,6,35,1,3,12,1,34,Low,72873.0,Yes
151,23.0,Female,PhD,Finance,Engineer,4,22,2,33.0,Yes,2,27,1,2,8,0,37,Medium,,Yes
152,59.0,Female,PhD,Sales,Analyst,17,28,1,33.0,No,1,49,3,1,0,3,27,Medium,47163.0,Yes
153,26.0,Male,Master,IT,Engineer,13,0,2,,No,7,89,4,1,15,1,1,Medium,48386.0,Yes
154,28.0,Male,Master,IT,Manager,5,18,4,67.0,Yes,12,54,1,1,10,2,7,Low,37478.0,Yes
155,47.0,Female,PhD,IT,Engineer,23,3,1,64.0,Yes,1,62,4,1,3,0,18,Low,54604.0,Yes
156,29.0,Male,PhD,Sales,Analyst,28,6,3,46.0,Yes,6,62,3,5,15,3,10,Low,63924.0,No
157,57.0,Male,Master,Finance,Manager,0,5,3,38.0,Yes,10,37,3,4,10,4,40,Low,21853.0,No
158,53.0,Male,PhD,Finance,Manager,2,29,1,34.0,No,9,30,2,3,8,0,42,High,27052.0,Yes
159,44.0,Female,Master,HR,Manager,32,28,5,49.0,Yes,2,15,4,4,1,0,45,Medium,78371.0,No
160,35.0,Female,PhD,Finance,Engineer,27,24,3,66.0,No,14,20,4,2,8,4,29,High,66070.0,Yes
161,52.0,Male,PhD,HR,Manager,25,21,4,44.0,No,7,77,2,1,19,1,8,Low,61668.0,Yes
162,52.0,Male,Master,HR,Analyst,26,13,4,36.0,Yes,6,12,2,4,16,0,26,Low,63565.0,Yes
163,44.0,Male,Bachelor,HR,Engineer,19,24,5,32.0,No,17,72,1,2,18,4,49,High,53810.0,Yes
164,32.0,Male,PhD,Sales,Engineer,20,6,3,38.0,Yes,16,64,2,4,9,0,9,Low,54156.0,Yes
165,59.0,Male,Bachelor,IT,Analyst,2,0,1,60.0,No,10,24,4,5,1,4,18,High,20257.0,Yes
166,22.0,Male,Bachelor,Sales,Analyst,13,28,2,58.0,Yes,2,98,4,5,8,4,20,High,45752.0,Yes
167,23.0,Male,PhD,IT,Manager,9,13,5,54.0,Yes,13,41,1,5,6,4,6,Medium,39945.0,Yes
168,57.0,Female,PhD,Sales,Engineer,16,7,1,31.0,No,6,86,1,5,4,0,18,High,50756.0,Yes
169,37.0,Female,Bachelor,HR,Engineer,25,17,4,55.0,Yes,18,42,3,3,12,2,14,Medium,61195.0,No
170,22.0,Female,Bachelor,Finance,Manager,8,24,4,44.0,Yes,3,36,2,5,2,3,26,High,38541.0,Yes
171,22.0,Female,PhD,Finance,Engineer,31,27,3,30.0,Yes,2,39,4,2,0,2,33,Medium,74276.0,Yes
172,48.0,Male,Master,Finance,Analyst,33,9,2,67.0,No,11,63,4,4,7,0,19,High,73027.0,Yes
173,43.0,Female,PhD,HR,Engineer,7,26,1,,No,12,45,3,4,8,4,15,Low,27757.0,No
174,57.0,Male,Master,HR,Analyst,32,15,3,34.0,No,16,6,2,4,5,1,31,Low,71307.0,Yes
175,52.0,Female,Bachelor,HR,Manager,3,13,4,38.0,No,18,46,1,5,11,0,35,Low,,Yes
176,53.0,Female,Bachelor,Finance,Engineer,15,3,3,51.0,No,19,35,1,4,9,1,33,Medium,51638.0,Yes
177,21.0,Male,Bachelor,IT,Manager,22,3,1,55.0,Yes,2,86,2,2,13,2,7,Low,56924.0,Yes
178,39.0,Male,PhD,Sales,Manager,25,5,5,39.0,Yes,8,90,3,3,14,4,28,Low,,No
179,22.0,Female,Master,Finance,Engineer,14,2,2,49.0,No,13,93,2,4,9,4,6,High,40250.0,Yes
180,46.0,Female,PhD,HR,Analyst,11,11,1,65.0,Yes,18,18,2,4,3,4,2,High,39117.0,Yes
181,52.0,Female,Bachelor,IT,Manager,14,21,5,48.0,No,8,37,3,4,4,2,47,High,48061.0,Yes
182,26.0,Female,PhD,Sales,Engineer,10,23,1,43.0,Yes,14,42,1,1,5,3,41,High,33554.0,Yes
183,52.0,Female,Master,Finance,Engineer,14,28,1,68.0,No,2,83,2,4,19,3,8,Low,38077.0,Yes
184,24.0,Male,PhD,Finance,Analyst,11,20,3,69.0,No,6,67,1,1,12,0,47,Low,40135.0,Yes
185,31.0,Male,PhD,Finance,Manager,19,19,4,40.0,Yes,14,22,3,3,7,3,5,Low,61024.0,No
186,37.0,Male,Master,Sales,Analyst,10,18,2,49.0,Yes,13,41,1,2,5,2,10,High,41398.0,Yes
187,58.0,Male,Master,Sales,Analyst,9,12,1,51.0,Yes,10,23,1,4,15,2,36,High,35157.0,Yes
188,44.0,Male,Bachelor,HR,Manager,24,11,3,45.0,Yes,8,10,2,5,7,4,9,Low,64679.0,Yes
189,25.0,Male,Master,Sales,Analyst,10,21,5,39.0,Yes,19,37,3,1,1,4,24,Medium,41326.0,Yes
190,54.0,Female,Bachelor,Sales,Manager,28,13,2,39.0,No,1,83,1,2,16,4,12,Medium,66473.0,Yes
191,26.0,Male,PhD,HR,Analyst,29,9,2,52.0,No,15,48,1,3,0,3,42,High,72089.0,Yes
192,42.0,Female,Bachelor,Sales,Manager,24,13,1,47.0,Yes,4,64,1,3,14,2,19,Medium,61140.0,Yes
193,31.0,Female,PhD,Sales,Engineer,11,1,1,62.0,No,3,21,4,2,2,3,34,Low,33603.0,Yes
194,36.0,Female,Master,Sales,Manager,31,5,1,42.0,Yes,14,64,1,2,2,3,26,High,69795.0,Yes
195,53.0,Female,Bachelor,Sales,Manager,0,23,5,39.0,Yes,16,6,4,3,9,2,7,Low,26268.0,No
196,29.0,Female,Bachelor,HR,Engineer,22,19,1,38.0,No,15,22,3,3,0,2,34,Medium,59643.0,No
197,26.0,Female,Bachelor,IT,Engineer,11,16,5,36.0,Yes,1,76,3,5,14,2,15,Low,50826.0,No
198,36.0,Female,Master,Finance,Manager,29,13,1,57.0,No,11,80,3,3,13,0,43,Low,64632.0,No
199,49.0,Female,PhD,Finance,Analyst,26,6,4,57.0,No,8,34,3,4,9,4,25,Low,71168.0,No
200,23.0,Male,Bachelor,Finance,Analyst,1,26,4,39.0,No,2,8,1,1,0,1,32,Medium,25506.0,Yes
201,40.0,Male,PhD,Sales,Analyst,25,14,4,33.0,No,13,82,1,3,12,1,48,High,67309.0,Yes
202,56.0,Female,PhD,HR,Analyst,34,12,4,50.0,No,1,96,4,2,15,2,21,Low,82954.0,Yes
203,39.0,Female,PhD,Finance,Engineer,11,9,3,40.0,No,17,55,4,2,8,3,20,Medium,42419.0,Yes
204,46.0,Male,Bachelor,IT,Analyst,6,0,2,61.0,No,14,54,1,2,3,3,24,High,36686.0,Yes
205,23.0,Female,PhD,Sales,Engineer,14,29,3,58.0,No,2,51,1,1,8,0,28,Medium,44966.0,Yes
206,39.0,Male,Bachelor,IT,Analyst,10,8,4,46.0,Yes,13,69,4,2,12,3,19,High,40370.0,Yes
207,40.0,Female,PhD,IT,Manager,14,8,4,55.0,No,16,13,2,2,17,0,37,Low,51348.0,Yes
208,52.0,Female,PhD,Finance,Manager,7,12,3,38.0,Yes,18,59,2,2,18,3,3,High,,Yes
209,27.0,Female,Bachelor,IT,Analyst,22,5,1,69.0,Yes,12,48,1,3,16,0,43,Medium,58204.0,Yes
210,53.0,Female,Bachelor,Finance,Manager,12,19,3,48.0,Yes,18,4,1,2,0,3,14,Medium,42754.0,Yes
211,59.0,Female,Master,Sales,Engineer,14,17,2,53.0,No,3,4,1,4,3,1,10,Low,47013.0,Yes
212,38.0,Male,Master,IT,Manager,15,25,3,59.0,Yes,5,92,3,1,11,4,31,Low,44004.0,Yes
213,21.0,Female,Master,Sales,Engineer,16,15,3,65.0,Yes,6,41,2,5,9,1,2,High,46154.0,Yes
214,31.0,Female,PhD,Finance,Manager,19,29,5,68.0,No,6,58,1,4,16,2,15,Low,56556.0,Yes
215,48.0,Male,Master,IT,Manager,31,27,5,44.0,No,8,89,4,2,16,0,31,High,79020.0,Yes
216,45.0,Female,Master,IT,Manager,9,10,3,51.0,Yes,6,1,4,5,11,1,26,Medium,35523.0,No
217,43.0,Male,Master,IT,Manager,1,8,3,68.0,Yes,18,44,2,5,0,0,3,Medium,27914.0,Yes
218,51.0,Male,PhD,Finance,Engineer,24,17,5,59.0,No,8,90,2,3,8,0,47,Medium,69844.0,Yes
219,50.0,Male,Master,IT,Manager,8,19,4,52.0,No,18,40,3,1,2,2,38,Low,39641.0,Yes
220,55.0,Female,Bachelor,Sales,Manager,29,2,1,68.0,Yes,13,15,2,1,10,2,34,Medium,67116.0,Yes
221,27.0,Male,PhD,HR,Analyst,5,25,4,57.0,Yes,14,10,1,5,0,1,25,Medium,30784.0,Yes
222,36.0,Female,PhD,IT,Manager,6,11,4,,No,2,29,3,5,9,1,45,Medium,37038.0,No
223,46.0,Female,Bachelor,Sales,Manager,26,4,5,54.0,Yes,19,42,1,5,15,1,42,Low,69511.0,Yes
224,22.0,Female,Master,Sales,Engineer,4,15,5,69.0,Yes,6,1,1,2,10,1,4,High,33918.0,Yes
225,21.0,Male,Master,IT,Engineer,15,21,5,50.0,No,19,80,1,1,9,0,34,High,53448.0,Yes
226,32.0,Male,Bachelor,IT,Manager,24,12,1,59.0,No,4,79,1,5,19,4,15,Medium,62971.0,Yes
227,25.0,Female,Master,IT,Manager,16,14,4,64.0,Yes,10,88,4,2,4,1,15,High,54115.0,Yes
228,,Female,Master,IT,Manager,31,8,1,66.0,Yes,13,92,1,1,7,2,49,High,73383.0,Yes
229,52.0,Male,Master,IT,Engineer,12,27,2,38.0,No,1,95,4,1,18,2,48,High,45584.0,Yes
230,29.0,Female,PhD,Finance,Analyst,27,9,1,41.0,Yes,19,36,4,5,3,2,41,High,61478.0,Yes
231,55.0,Male,Bachelor,Finance,Analyst,17,24,3,51.0,No,12,45,1,2,3,4,16,High,55766.0,Yes
